2024-05-22 12:59:38 [INFO] autoreload Watching for file changes with StatReloader
2024-05-22 12:59:38 [DEBUG] autoreload Waiting for apps ready_event.
2024-05-22 12:59:38 [DEBUG] autoreload Apps ready_event triggered. Sending autoreload_started signal.
2024-05-22 12:59:38 [DEBUG] autoreload Watching dir /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/allauth/templates with glob **/*.
2024-05-22 12:59:38 [DEBUG] autoreload Watching dir /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django_filters/templates with glob **/*.
2024-05-22 12:59:38 [DEBUG] autoreload Watching dir /home/kutak/SkillFactory/News_Portal/templates with glob **/*.
2024-05-22 12:59:38 [DEBUG] autoreload Watching dir /home/kutak/SkillFactory/News_Portal/locale with glob **/*.mo.
2024-05-22 12:59:38 [DEBUG] autoreload Watching dir /home/kutak/SkillFactory/News_Portal/news/locale with glob **/*.mo.
2024-05-22 12:59:38 [DEBUG] autoreload Watching dir /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django_filters/locale with glob **/*.mo.
2024-05-22 12:59:38 [DEBUG] autoreload Watching dir /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/allauth/locale with glob **/*.mo.
2024-05-22 12:59:38 [DEBUG] autoreload Watching dir /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/allauth/account/locale with glob **/*.mo.
2024-05-22 12:59:38 [DEBUG] autoreload Watching dir /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/allauth/socialaccount/locale with glob **/*.mo.
2024-05-22 12:59:38 [DEBUG] autoreload Watching dir /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/allauth/socialaccount/providers/yandex/locale with glob **/*.mo.
2024-05-22 12:59:38 [DEBUG] autoreload Watching dir /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django_apscheduler/locale with glob **/*.mo.
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/celery/loaders/base.py first seen with mtime 1713160905.932142
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django/utils/tree.py first seen with mtime 1709630800.702578
2024-05-22 12:59:38 [DEBUG] autoreload File /usr/lib/python3.10/_collections_abc.py first seen with mtime 1700493245.0
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django/http/request.py first seen with mtime 1709630800.670578
2024-05-22 12:59:38 [DEBUG] autoreload File /usr/lib/python3.10/asyncio/log.py first seen with mtime 1700493245.0
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django_apscheduler/admin.py first seen with mtime 1712827793.812686
2024-05-22 12:59:38 [DEBUG] autoreload File /usr/lib/python3.10/lib-dynload/_contextvars.cpython-310-x86_64-linux-gnu.so first seen with mtime 1700493245.0
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django/core/checks/security/csrf.py first seen with mtime 1709630800.558575
2024-05-22 12:59:38 [DEBUG] autoreload File /usr/lib/python3.10/asyncio/unix_events.py first seen with mtime 1700493245.0
2024-05-22 12:59:38 [DEBUG] autoreload File /usr/lib/python3.10/copyreg.py first seen with mtime 1700493245.0
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/django/utils/translation/reloader.py first seen with mtime 1709630800.706578
2024-05-22 12:59:38 [DEBUG] autoreload File /home/kutak/SkillFactory/News_Portal/.venv/lib/python3.10/site-packages/urllib3/_base_connection.py first seen with mtime 1711440618.850183
